distance_car_petrol,car_petrol_emissions,distance_car_diesel,car_diesel_emissions,distance_motorbike,motorbike_emissions,distance_bus,bus_emissions,distance_train,train_emissions,distance_bike,bike_emissions
78,9.75,14,2.52,5,0.57,87,8.96,225,8.33,29,0
153,35.34,253,45.54,223,25.20,276,28.43,213,7.88,50,0
286,66.07,66,11.88,288,32.54,56,5.77,295,10.92,4,0
153,35.34,173,31.14,2,0.23,144,14.83,43,1.59,7,0
130,30.03,109,19.62,8,0.90,16,1.65,129,4.77,37,0
223,51.51,62,11.16,265,29.95,140,14.42,291,10.77,50,0
169,39.04,135,24.3,4,0.45,282,29.05,185,6.85,42,0
176,40.66,72,12.96,286,32.32,94,9.68,245,9.07,47,0
107,24.72,121,21.78,17,1.92,53,5.46,269,9.95,19,0
31,7.16,22,3.96,102,11.53,61,6.28,183,6.77,21,0
69,15.94,39,7.02,105,11.87,153,15.76,255,9.44,36,0
66,15.25,72,12.96,22,2.49,46,4.74,217,8.03,36,0
205,47.36,245,44.1,56,6.33,166,17.10,265,9.81,19,0
112,25.87,145,26.1,124,14.01,201,20.70,23,0.85,44,0
50,11.55,23,4.14,115,13.00,88,9.06,299,11.06,43,0
83,19.17,56,10.08,274,30.96,223,22.97,243,8.99,35,0
62,14.32,248,44.64,10,1.13,221,22.76,199,7.36,19,0
278,64.22,94,16.92,102,11.53,35,3.61,217,8.03,15,0
90,20.79,257,46.26,55,6.22,201,20.70,253,9.36,9,0
126,29.11,153,27.54,257,29.04,21,2.16,211,7.81,9,0
146,33.73,208,37.44,108,12.20,229,23.59,245,9.07,32,0
176,40.66,2,0.36,211,23.84,197,20.29,213,7.88,46,0
136,31.42,214,38.52,178,20.11,167,17.20,179,6.62,41,0
238,54.98,109,19.62,118,13.33,136,14.01,265,9.81,43,0
121,27.95,81,14.58,70,7.91,244,25.13,65,2.41,16,0
96,22.18,136,24.48,189,21.36,101,10.40,239,8.84,31,0
218,50.36,155,27.9,262,29.61,139,14.32,227,8.40,35,0
68,15.71,98,17.64,86,9.72,52,5.36,1,0.04,20,0
128,29.57,123,22.14,61,6.89,201,20.70,59,2.18,10,0
75,17.33,261,46.98,240,27.12,95,9.79,27,1.00,38,0
230,53.13,198,35.64,222,25.09,130,13.39,295,10.92,33,0
21,4.85,251,45.18,57,6.44,58,5.97,61,2.26,10,0
104,24.02,155,27.9,248,28.02,200,20.60,213,7.88,3,0
49,11.32,105,18.9,292,33.00,179,18.44,139,5.14,19,0
149,34.42,152,27.36,42,4.75,136,14.01,35,1.30,8,0
19,4.39,20,3.6,226,25.54,23,2.37,291,10.77,3,0
75,17.33,172,30.96,297,33.56,150,15.45,275,10.18,24,0
93,21.48,297,53.46,50,5.65,196,20.19,225,8.33,31,0
77,17.79,147,26.46,84,9.49,78,8.03,153,5.66,40,0
16,3.70,33,5.94,227,25.65,91,9.37,61,2.26,21,0
112,25.87,108,19.44,64,7.23,294,30.28,111,4.11,47,0
77,17.79,200,36,129,14.58,288,29.66,213,7.88,22,0
282,65.14,174,31.32,215,24.30,168,17.30,189,6.99,2,0
5,1.16,173,31.14,153,17.29,11,1.13,109,4.03,19,0
